ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,รหัสหมู่บ้าน,ชื่อหมู่บ้าน,pop,วัยทารก,วัยเด็ก,วัยรุ่น,วัยผู้ใหญ่,วัยสูงอายุ,District,area_,pop_area,pop_area_km,%mix_เด็ก,%mix_ทารก,%mix_วัยรุ่น,%mix_ผู้ใหญ่,%mix_สูงอายุ,%mix_รอด,%mix_กลุ่มเปราะบาง
﻿6807,10,กรุงเทพมหานคร,1001,เขตพระนคร,0,-,0,-,37789,326,2657,2862,19532,12412,พระนคร,"5,377,063",0.007,"7,028",7.03%,0.86%,7.57%,51.69%,32.85%,59.26%,40.74%
6807,10,กรุงเทพมหานคร,1002,เขตดุสิต,0,-,0,-,70058,841,4572,4981,37531,22133,ดุสิต,"11,344,212",0.006,"6,176",6.53%,1.20%,7.11%,53.57%,31.59%,60.68%,39.32%
6807,10,กรุงเทพมหานคร,1003,เขตหนองจอก,0,-,0,-,185682,4743,20636,20509,113105,26689,หนองจอก,"238,394,891",0.001,779,11.11%,2.55%,11.05%,60.91%,14.37%,71.96%,28.03%
6807,10,กรุงเทพมหานคร,1004,เขตบางรัก,0,-,0,-,33718,381,2111,2302,18541,10383,บางรัก,"4,006,289",0.008,"8,416",6.26%,1.13%,6.83%,54.99%,30.79%,61.82%,38.18%
6807,10,กรุงเทพมหานคร,1005,เขตบางเขน,0,-,0,-,181273,2699,13609,14402,110836,39727,บางเขน,"40,791,982",0.004,"4,444",7.51%,1.49%,7.94%,61.14%,21.92%,69.09%,30.92%
6807,10,กรุงเทพมหานคร,1006,เขตบางกะปิ,0,-,0,-,137949,1964,10743,11331,83588,30323,บางกะปิ,"27,575,783",0.005,"5,003",7.79%,1.42%,8.21%,60.59%,21.98%,68.81%,31.19%
6807,10,กรุงเทพมหานคร,1007,เขตปทุมวัน,0,-,0,-,34622,455,2372,2678,19860,9257,ปทุมวัน,"8,046,091",0.004,"4,303",6.85%,1.31%,7.73%,57.36%,26.74%,65.10%,34.90%
6807,10,กรุงเทพมหานคร,1008,เขตป้อมปราบศัตรูพ่าย,0,-,0,-,33997,327,2111,2192,17554,11813,ป้อมปราบศัตรูพ่าย,"2,497,818",0.014,"13,611",6.21%,0.96%,6.45%,51.63%,34.75%,58.08%,41.92%
6807,10,กรุงเทพมหานคร,1009,เขตพระโขนง,0,-,0,-,82023,1036,5314,5734,49382,20557,พระโขนง,"13,175,609",0.006,"6,225",6.48%,1.26%,6.99%,60.21%,25.06%,67.20%,32.80%
6807,10,กรุงเทพมหานคร,1010,เขตมีนบุรี,0,-,0,-,138449,2741,13615,14303,82760,25030,มีนบุรี,"59,962,936",0.002,"2,309",9.83%,1.98%,10.33%,59.78%,18.08%,70.11%,29.89%
6807,10,กรุงเทพมหานคร,1011,เขตลาดกระบัง,0,-,0,-,180086,3629,17725,17575,111704,29453,ลาดกระบัง,"128,358,417",0.001,"1,403",9.84%,2.02%,9.76%,62.03%,16.35%,71.79%,28.21%
6807,10,กรุงเทพมหานคร,1012,เขตยานนาวา,0,-,0,-,69880,1044,5483,5379,39728,18246,ยานนาวา,"12,458,840",0.006,"5,609",7.85%,1.49%,7.70%,56.85%,26.11%,64.55%,35.45%
6807,10,กรุงเทพมหานคร,1013,เขตสัมพันธวงศ์,0,-,0,-,17673,165,932,1113,9200,6263,สัมพันธวงศ์,"1,420,221",0.012,"12,444",5.27%,0.93%,6.30%,52.06%,35.44%,58.35%,41.64%
6807,10,กรุงเทพมหานคร,1014,เขตพญาไท,0,-,0,-,60346,888,5017,4857,35720,13864,พญาไท,"9,256,707",0.007,"6,519",8.31%,1.47%,8.05%,59.19%,22.97%,67.24%,32.75%
6807,10,กรุงเทพมหานคร,1015,เขตธนบุรี,0,-,0,-,94135,1169,5965,7084,54369,25548,ธนบุรี,"8,129,090",0.012,"11,580",6.34%,1.24%,7.53%,57.76%,27.14%,65.28%,34.72%
6807,10,กรุงเทพมหานคร,1016,เขตบางกอกใหญ่,0,-,0,-,58377,666,3615,4112,33234,16750,บางกอกใหญ่,"6,289,604",0.009,"9,282",6.19%,1.14%,7.04%,56.93%,28.69%,63.97%,36.02%
6807,10,กรุงเทพมหานคร,1017,เขตห้วยขวาง,0,-,0,-,80897,1282,6060,5486,50952,17117,ห้วยขวาง,"16,282,278",0.005,"4,968",7.49%,1.58%,6.78%,62.98%,21.16%,69.77%,30.23%
6807,10,กรุงเทพมหานคร,1018,เขตคลองสาน,0,-,0,-,58898,663,3781,4222,32808,17424,คลองสาน,"5,967,813",0.01,"9,869",6.42%,1.13%,7.17%,55.70%,29.58%,62.87%,37.13%
6807,10,กรุงเทพมหานคร,1019,เขตตลิ่งชัน,0,-,0,-,99649,1505,7331,7912,55532,27369,ตลิ่งชัน,"35,631,286",0.003,"2,797",7.36%,1.51%,7.94%,55.73%,27.47%,63.67%,36.34%
6807,10,กรุงเทพมหานคร,1020,เขตบางกอกน้อย,0,-,0,-,92653,1047,5440,6249,50803,29114,บางกอกน้อย,"12,347,899",0.008,"7,504",5.87%,1.13%,6.74%,54.83%,31.42%,61.58%,38.42%
6807,10,กรุงเทพมหานคร,1021,เขตบางขุนเทียน,0,-,0,-,182616,3409,18615,18520,109059,33013,บางขุนเทียน,"129,682,960",0.001,"1,408",10.19%,1.87%,10.14%,59.72%,18.08%,69.86%,30.14%
6807,10,กรุงเทพมหานคร,1022,เขตภาษีเจริญ,0,-,0,-,119669,1714,8710,9225,70743,29277,ภาษีเจริญ,"19,038,998",0.006,"6,285",7.28%,1.43%,7.71%,59.12%,24.46%,66.82%,33.17%
6807,10,กรุงเทพมหานคร,1023,เขตหนองแขม,0,-,0,-,152884,2642,13125,14314,91536,31267,หนองแขม,"36,416,084",0.004,"4,198",8.58%,1.73%,9.36%,59.87%,20.45%,69.24%,30.76%
6807,10,กรุงเทพมหานคร,1024,เขตราษฎร์บูรณะ,0,-,0,-,72994,1059,5834,6097,42664,17340,ราษฎร์บูรณะ,"12,583,941",0.006,"5,801",7.99%,1.45%,8.35%,58.45%,23.76%,66.80%,33.20%
6807,10,กรุงเทพมหานคร,1025,เขตบางพลัด,0,-,0,-,85005,994,5260,5413,49183,24155,บางพลัด,"11,818,996",0.007,"7,192",6.19%,1.17%,6.37%,57.86%,28.42%,64.23%,35.78%
6807,10,กรุงเทพมหานคร,1026,เขตดินแดง,0,-,0,-,105344,1343,7241,8186,60426,28148,ดินแดง,"8,447,460",0.012,"12,470",6.87%,1.27%,7.77%,57.36%,26.72%,65.13%,34.86%
6807,10,กรุงเทพมหานคร,1027,เขตบึงกุ่ม,0,-,0,-,133600,1837,10679,11263,78942,30879,บึงกุ่ม,"23,400,020",0.006,"5,709",7.99%,1.38%,8.43%,59.09%,23.11%,67.52%,32.48%
6807,10,กรุงเทพมหานคร,1028,เขตสาทร,0,-,0,-,66521,825,4557,4875,36350,19914,สาทร,"7,225,262",0.009,"9,207",6.85%,1.24%,7.33%,54.64%,29.94%,61.97%,38.03%
6807,10,กรุงเทพมหานคร,1029,เขตบางซื่อ,0,-,0,-,114935,1503,7514,8037,65747,32134,บางซื่อ,"12,926,995",0.009,"8,891",6.54%,1.31%,6.99%,57.20%,27.96%,64.20%,35.81%
6807,10,กรุงเทพมหานคร,1030,เขตจตุจักร,0,-,0,-,152161,1970,10981,10795,91797,36618,จตุจักร,"32,543,975",0.005,"4,676",7.22%,1.29%,7.09%,60.33%,24.07%,67.42%,32.58%
6807,10,กรุงเทพมหานคร,1031,เขตบางคอแหลม,0,-,0,-,72970,941,5355,6121,39653,20900,บางคอแหลม,"8,597,190",0.008,"8,488",7.34%,1.29%,8.39%,54.34%,28.64%,62.73%,37.27%
6807,10,กรุงเทพมหานคร,1032,เขตประเวศ,0,-,0,-,179788,3641,18632,17017,107721,32777,ประเวศ,"53,886,703",0.003,"3,336",10.36%,2.03%,9.47%,59.92%,18.23%,69.38%,30.62%
6807,10,กรุงเทพมหานคร,1033,เขตคลองเตย,0,-,0,-,84779,1315,6515,6848,50842,19259,คลองเตย,"13,395,850",0.006,"6,329",7.68%,1.55%,8.08%,59.97%,22.72%,68.05%,31.95%
6807,10,กรุงเทพมหานคร,1034,เขตสวนหลวง,0,-,0,-,120146,2096,11176,10093,72359,24422,สวนหลวง,"24,354,050",0.005,"4,933",9.30%,1.74%,8.40%,60.23%,20.33%,68.63%,31.37%
6807,10,กรุงเทพมหานคร,1035,เขตจอมทอง,0,-,0,-,135383,1900,10242,10905,77659,34677,จอมทอง,"22,147,127",0.006,"6,113",7.57%,1.40%,8.05%,57.36%,25.61%,65.42%,34.58%
6807,10,กรุงเทพมหานคร,1036,เขตดอนเมือง,0,-,0,-,162920,2439,13174,14403,101139,31765,ดอนเมือง,"36,956,390",0.004,"4,408",8.09%,1.50%,8.84%,62.08%,19.50%,70.92%,29.09%
6807,10,กรุงเทพมหานคร,1037,เขตราชเทวี,0,-,0,-,56166,766,3896,4619,32471,14414,ราชเทวี,"7,176,491",0.008,"7,826",6.94%,1.36%,8.22%,57.81%,25.66%,66.04%,33.96%
6807,10,กรุงเทพมหานคร,1038,เขตลาดพร้าว,0,-,0,-,109884,1421,8551,8857,63063,27992,ลาดพร้าว,"21,337,338",0.005,"5,150",7.78%,1.29%,8.06%,57.39%,25.47%,65.45%,34.54%
6807,10,กรุงเทพมหานคร,1039,เขตวัฒนา,0,-,0,-,65933,1005,5029,4878,36779,18242,วัฒนา,"12,951,358",0.005,"5,091",7.63%,1.52%,7.40%,55.78%,27.67%,63.18%,36.82%
6807,10,กรุงเทพมหานคร,1040,เขตบางแค,0,-,0,-,189330,3040,14541,15163,111384,45202,บางแค,"47,848,535",0.004,"3,957",7.68%,1.61%,8.01%,58.83%,23.87%,66.84%,33.16%
6807,10,กรุงเทพมหานคร,1041,เขตหลักสี่,0,-,0,-,96049,1319,6661,7369,56055,24645,หลักสี่,"22,761,905",0.004,"4,220",6.94%,1.37%,7.67%,58.36%,25.66%,66.03%,33.97%
6807,10,กรุงเทพมหานคร,1042,เขตสายไหม,0,-,0,-,209094,3934,20023,18227,126497,40413,สายไหม,"43,476,985",0.005,"4,809",9.58%,1.88%,8.72%,60.50%,19.33%,69.21%,30.79%
6807,10,กรุงเทพมหานคร,1043,เขตคันนายาว,0,-,0,-,85429,1365,6997,7544,50638,18885,คันนายาว,"25,514,583",0.003,"3,348",8.19%,1.60%,8.83%,59.27%,22.11%,68.11%,31.90%
6807,10,กรุงเทพมหานคร,1044,เขตสะพานสูง,0,-,0,-,96744,1851,9370,8703,55936,20884,สะพานสูง,"27,979,997",0.003,"3,458",9.69%,1.91%,9.00%,57.82%,21.59%,66.81%,33.19%
6807,10,กรุงเทพมหานคร,1045,เขตวังทองหลาง,0,-,0,-,101107,1326,8668,8899,58821,23393,วังทองหลาง,"17,079,674",0.006,"5,920",8.57%,1.31%,8.80%,58.18%,23.14%,66.98%,33.02%
6807,10,กรุงเทพมหานคร,1046,เขตคลองสามวา,0,-,0,-,212827,4344,21700,21360,132823,32600,คลองสามวา,"115,002,595",0.002,"1,851",10.20%,2.04%,10.04%,62.41%,15.32%,72.45%,27.56%
6807,10,กรุงเทพมหานคร,1047,เขตบางนา,0,-,0,-,82359,1050,5372,6030,50339,19568,บางนา,"19,031,255",0.004,"4,328",6.52%,1.27%,7.32%,61.12%,23.76%,68.44%,31.55%
6807,10,กรุงเทพมหานคร,1048,เขตทวีวัฒนา,0,-,0,-,79286,1320,6250,6504,44453,20759,ทวีวัฒนา,"50,110,520",0.002,"1,582",7.88%,1.66%,8.20%,56.07%,26.18%,64.27%,35.72%
6807,10,กรุงเทพมหานคร,1049,เขตทุ่งครุ,0,-,0,-,122673,2124,11018,11454,73013,25064,ทุ่งครุ,"32,208,149",0.004,"3,809",8.98%,1.73%,9.34%,59.52%,20.43%,68.86%,31.14%
6807,10,กรุงเทพมหานคร,1050,เขตบางบอน,0,-,0,-,96104,1506,8346,9644,56571,20037,บางบอน,"34,125,349",0.003,"2,816",8.68%,1.57%,10.03%,58.86%,20.85%,68.90%,31.10%
